,"('1', 'depthN')","('4', 'depthN')","('6', 'depthN')","('7', 'depthN')","('8', 'depthN')","('10', 'depthN')",raingage_J,raingage_C,raingage_N,raingage_S
"O8->('6', 'depthN')_tr_1_0",-3.606445167715423e-17,1.6424620732938615e-17,4.007851900640919e-05,-2.965040765505628e-10,-5.40122949254662e-19,4.209810776324285e-17,4.057608089265439e-17,1.1797997680657396e-16,-7.799795902808245e-18,8.456438280847793e-17
"O8->('6', 'depthN')_tr_1_1",-1.7667431898879656e-16,-1.375272943794293e-16,0.0007019249158881534,-5.5005462074012176e-09,9.818619098100644e-17,-3.6748067000323727e-16,1.762579852767779e-16,-6.3938594736103e-16,5.475727370622426e-16,2.1583166651065167e-16
"O8->('6', 'depthN')_tr_1_2",4.8676575804604024e-15,2.5144754723867225e-15,0.010425196120035531,-1.1010072899138404e-07,3.0627468242945334e-16,-3.3440958651705624e-15,-1.19442148277123e-15,-9.817236880784161e-16,-3.982134896257404e-16,-1.8975380096398744e-16
"O8->('6', 'depthN')_tr_1_3",-6.561040100091265e-15,-1.3466627779345122e-14,0.011389783074389202,-1.208230828367498e-07,2.1966886407173282e-15,-4.865607614734171e-15,1.924861695752037e-15,4.432333099048424e-15,-3.691530639267282e-15,-3.2079594063701783e-15
"O8->('6', 'depthN')_tr_1_4",-7.977547677342167e-14,-1.2004663488158224e-13,0.012192438508261634,-1.3066939087641573e-07,4.155618931263934e-14,-3.6046309814354703e-14,2.4204552472825075e-14,7.385071763785579e-15,1.9865391023044953e-15,-6.185491746154207e-14
"O7->('6', 'depthN')_tr_1_0",-6.886399251046221e-17,3.6178644692466345e-18,-8.538358803150603e-05,6.316745740485659e-10,3.4021008179298097e-17,-3.7624441534441805e-17,-4.7300428365662816e-17,-8.389700945393977e-17,1.0604355473466716e-16,4.795282257365433e-17
"O7->('6', 'depthN')_tr_1_1",-4.0445882781929296e-16,-1.5366788608765285e-16,-0.0014953862900363843,1.17184057845384e-08,-2.553384593884581e-16,6.429474619333558e-16,-2.5968144083971117e-16,2.693739201302554e-16,3.9328401295243186e-16,-3.700658783255427e-16
"O7->('6', 'depthN')_tr_1_2",-1.6299518268656419e-15,3.1916196677943476e-16,-0.022209918747703523,2.3455944537497696e-07,8.66020546780524e-16,7.532912091821512e-16,-5.319816527372095e-16,1.9236939295262267e-15,2.781751820406675e-16,1.1394955950888534e-15
"O7->('6', 'depthN')_tr_1_3",2.8224113143983297e-15,2.433846336325181e-15,-0.024264882283597442,2.5740241071807607e-07,9.194740473859108e-16,-3.3574130565071417e-16,4.0199986099621294e-16,-2.4625466895204163e-15,-2.0094421251894325e-15,3.5955408725377765e-15
"O7->('6', 'depthN')_tr_1_4",-1.8161228627527082e-14,-1.064109333146168e-15,-0.025974865651042515,2.7837881055237057e-07,9.571712587422315e-15,2.1614699027022684e-14,8.136677234537712e-15,-1.009128231383376e-14,1.1860406581184675e-15,8.442801788535179e-15
"O10->('4', 'depthN')_tr_1_0",-2.717382522518673e-10,5.428393583123997e-06,-9.328348176065881e-17,-2.468548776667874e-17,2.881841513017642e-17,1.033288095414755e-16,-1.020842806332176e-17,-5.221995496086114e-17,1.174743443285945e-16,-2.1311508800838644e-17
"O10->('4', 'depthN')_tr_1_1",-4.488636294196197e-09,9.472563391679255e-05,-3.5124665843388736e-16,-4.4660439593081475e-17,-1.1621594117649091e-17,2.4876731386320286e-16,2.7574727884685342e-17,-1.2217624348197549e-15,1.802371798286259e-16,-1.4479035112673214e-16
"O10->('4', 'depthN')_tr_1_2",-4.752374109742686e-08,0.0013664394393137183,-2.3687361415647275e-15,6.418583530924037e-16,3.0490563174095955e-15,-1.6017731174946675e-17,3.734990733756003e-15,-8.599184558121673e-15,9.424334334015867e-16,-1.6811866082002437e-14
"O10->('4', 'depthN')_tr_1_3",-5.1559226543401697e-08,0.0014921079122490592,-2.447905751784564e-15,-7.672862763086702e-16,4.503825774739817e-15,1.0602935499374902e-14,1.2282488456482506e-15,-4.394459398212606e-15,1.616026502094919e-14,-7.562676417010533e-15
"O10->('4', 'depthN')_tr_1_4",-5.4293926489106264e-08,0.0015953664734887824,1.0156622582984496e-13,-1.183420063477036e-14,-3.7246986212482724e-15,-1.0750698939446292e-13,5.565423787150294e-15,-2.844957089096104e-14,-9.337103489801792e-14,-1.6412031031297434e-13
"O6->('4', 'depthN')_tr_1_0",-6.011925939695589e-10,1.200976068511088e-05,1.6728494243607906e-17,-1.0757023695495436e-17,3.671322801834629e-17,3.9175157269449884e-17,-2.020803197357015e-17,-4.4820745581643066e-17,4.45290941524953e-18,-2.6424927018701605e-17
"O6->('4', 'depthN')_tr_1_1",-9.930645699363648e-09,0.0002095706909720864,-1.172111416562476e-16,-8.917224491612077e-17,1.186896538405001e-16,2.252986813794405e-17,-6.714236135215474e-17,-3.9256591013343354e-16,-4.977623698876233e-18,1.1039055440272657e-16
"O6->('4', 'depthN')_tr_1_2",-1.0514137712419235e-07,0.0030231062662538113,7.779974894814537e-16,4.042705131312184e-16,2.807903170363278e-16,-9.955399020025765e-16,-1.9826578887627246e-16,1.7280273313335606e-15,-4.648108731129928e-16,1.7078411105747141e-15
"O6->('4', 'depthN')_tr_1_3",-1.1406944777397525e-07,0.00330113479579077,2.9169994100879233e-15,3.4789678360230013e-15,4.665380289705896e-15,-2.3374392108285078e-14,-4.393091084141666e-15,3.49391773726074e-15,-1.544443038413169e-15,-6.959974778557389e-15
"O6->('4', 'depthN')_tr_1_4",-1.2011963001986327e-07,0.0035295837084095513,1.763391695924006e-14,1.279105326961578e-14,-8.698695214472396e-15,-1.620186463327098e-13,-1.9874859946795327e-14,-2.7057550819816056e-14,6.116104529624526e-15,-3.189383748794609e-14
"O4->('1', 'depthN')_tr_1_0",1.649822754669987e-05,-8.331964938634333e-10,-5.582108930626277e-17,-5.692175536115626e-18,-7.355036212482326e-18,-2.053118920082905e-17,-5.065951740100887e-18,-1.2752106898641385e-17,-3.9829758389118586e-17,3.993390624726685e-18
"O4->('1', 'depthN')_tr_1_1",0.00028770861653735683,-1.3828829324584302e-08,-4.106538953006582e-17,-4.2087758721900676e-17,-1.3539213073794911e-17,-3.489091867682553e-16,-2.4447040099767735e-16,-8.42825188549831e-17,5.367971922804299e-16,1.7114365100712808e-17
"O4->('1', 'depthN')_tr_1_2",0.004129156009500926,-1.515471852840478e-07,-6.056957793482365e-16,-7.774252006597592e-17,9.558211302412634e-17,2.9519364505105965e-19,-9.282863694535728e-16,1.0709195867544242e-15,-1.874759647037608e-16,2.722351687437464e-15
"O4->('1', 'depthN')_tr_1_3",0.004508497160026349,-1.645518582263105e-07,3.0646223173157332e-15,-4.754809689624369e-15,-7.379168950319058e-16,-9.214320826660827e-15,3.140585058039863e-15,4.30724473408652e-15,-9.909203424743027e-16,-8.30731351759939e-15
"O4->('1', 'depthN')_tr_1_4",0.004819484261473485,-1.7362028099173042e-07,4.9704696685872747e-14,-4.2275334536251334e-14,4.055183172257725e-14,-9.713780930655342e-14,-2.2249307036304636e-14,3.4063689495342253e-14,4.874885610578471e-15,-1.145594819516429e-13
"('1', 'depthN')",1.0234956085471483,-1.636987025631874e-05,8.349543859661875e-17,1.5316829274868905e-17,-6.896967919934322e-17,-3.858910329672052e-17,1.782093961047121e-16,1.7768997969861272e-16,1.3150156834104246e-16,-0.07995509911681156
"('4', 'depthN')",-1.4763169773457585e-05,1.019555168537714,-7.15639961861999e-17,-1.8085847716622592e-16,-8.553359042589722e-17,1.59858736909846e-17,1.0541961684821837e-16,2.2195869791128082e-16,2.8203003481108484e-16,-0.07885188256527699
"('6', 'depthN')",3.6601857241045466e-17,-1.1637579252737626e-16,0.9993329374080427,1.3381623360233687e-05,6.180492562583587e-17,4.178147014819603e-17,7.401546132273313e-17,0.00036628905035865665,-7.091097560907316e-17,-8.93596598736155e-17
"('7', 'depthN')",2.804515608315459e-16,-2.3611665119407685e-16,2.5927074547639114e-06,1.0148277276502533,1.3744266794410627e-16,1.9665940586742328e-16,-3.9784536792310633e-16,0.09195660412257319,9.856849588724508e-19,-1.7474333790058933e-17
